Days for shipment (scheduled),Order Processing Time,Order Item Quantity,Order Month,Discounted Item,Type_DEBIT,Type_TRANSFER,Shipping Mode_Second Class,Shipping Mode_Standard Class,Customer Segment_Home Office,Customer Segment_Corporate,Order Status_PENDING,Order Status_PROCESSING,Order Status_SUSPECTED_FRAUD,Delay Probability,Expected Cost,Premium
4,6,1,4,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
4,6,1,10,1,0,1,0,1,1,0,1,0,0,0.99998546,99.99854,115.49847
2,6,3,7,1,1,0,1,0,0,0,0,0,0,0.9999974,99.99974,115.499725
4,2,1,7,1,0,0,0,1,0,0,0,0,0,1.7448942e-06,0.00017448943,10.500183
0,0,3,12,0,0,0,0,0,0,0,0,0,0,0.4492728,44.92728,57.67364
1,2,4,7,1,1,0,0,0,0,1,0,0,0,0.99998546,99.99854,115.49847
2,4,3,3,1,1,0,1,0,1,0,0,0,0,0.9999906,99.99906,115.49901
2,2,1,3,1,1,0,1,0,1,0,0,0,0,8.012994e-05,0.008012994,10.508413
2,4,1,1,1,1,0,1,0,1,0,0,0,0,0.9999902,99.99902,115.49897
4,4,4,4,1,0,1,0,1,0,1,0,1,0,3.2072734e-05,0.0032072733,10.503367
4,5,1,1,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,4,1,8,1,0,1,0,1,0,0,0,1,0,3.2072734e-05,0.0032072733,10.503367
4,6,1,5,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,5,1,1,1,1,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,3,2,4,1,1,0,0,1,0,1,0,0,0,5.347567e-06,0.0005347567,10.500562
4,6,1,9,1,0,1,0,1,1,0,0,1,0,0.99998546,99.99854,115.49847
4,6,1,4,0,0,0,0,1,1,0,0,0,0,0.9999862,99.99862,115.49854
4,5,4,8,1,0,1,0,1,0,1,1,0,0,0.9999856,99.99856,115.49848
4,2,5,2,1,1,0,0,1,0,0,0,0,0,2.0893465e-06,0.00020893465,10.500218
4,2,1,11,1,1,0,0,1,0,1,0,0,0,1.3530508e-06,0.00013530509,10.500142
2,2,1,5,1,0,1,1,0,0,0,0,1,0,7.544213e-05,0.0075442125,10.507921
4,6,5,11,1,0,1,0,1,1,0,0,1,0,0.99998546,99.99854,115.49847
4,5,3,9,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
2,3,5,1,1,1,0,1,0,0,0,0,0,0,0.99994373,99.99437,115.49408
4,3,1,5,1,0,1,0,1,0,0,0,1,0,5.4655798e-06,0.000546558,10.500573
0,0,5,7,1,0,0,0,0,0,0,0,0,0,0.30612248,30.612247,42.642857
4,5,4,7,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
1,2,1,9,1,0,0,0,0,0,1,0,0,0,0.99998045,99.99805,115.49795
4,5,2,10,1,1,0,0,1,1,0,0,0,0,0.99998546,99.99854,115.49847
4,6,4,12,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
1,2,5,8,1,0,0,0,0,0,1,0,0,0,0.9999778,99.99778,115.497665
4,3,1,9,1,0,1,0,1,1,0,0,1,0,5.330362e-06,0.0005330362,10.500559
2,3,3,4,1,1,0,1,0,0,0,0,0,0,0.9999442,99.99442,115.49414
1,2,1,4,1,0,0,0,0,0,1,0,0,0,0.9999856,99.99856,115.49848
1,2,1,5,1,0,1,0,0,0,1,0,0,1,0.9999144,99.99144,115.491005
2,5,1,5,1,0,0,1,0,0,1,0,0,0,0.9999974,99.99974,115.499725
4,4,5,7,1,0,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
4,5,2,7,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
2,2,3,10,1,0,1,1,0,0,0,0,1,0,7.3886884e-05,0.0073886886,10.507758
0,0,5,11,1,0,0,0,0,0,0,0,0,0,0.42715046,42.715046,55.350796
1,2,1,2,1,0,1,0,0,0,0,0,1,0,0.9999863,99.99863,115.49855
1,2,1,1,1,0,0,0,0,0,1,0,0,0,0.9999871,99.99871,115.49864
2,4,1,2,1,0,0,1,0,0,1,0,0,0,0.9999906,99.99906,115.49901
2,6,1,11,1,0,0,1,0,0,0,0,0,0,0.9999974,99.99974,115.499725
4,6,1,6,0,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
4,6,4,2,1,0,0,0,1,1,0,0,0,0,0.99998724,99.998726,115.49866
2,5,5,1,1,0,0,1,0,0,1,0,0,0,0.9999975,99.99975,115.49973
4,4,4,6,1,1,0,0,1,0,0,0,0,0,3.1380237e-05,0.0031380237,10.503294
1,2,4,6,1,0,1,0,0,0,1,1,0,0,0.9999887,99.99887,115.49881
4,3,1,7,1,1,0,0,1,0,0,0,0,0,5.347567e-06,0.0005347567,10.500562
2,2,1,9,1,1,0,1,0,0,0,0,0,0,7.847036e-05,0.007847036,10.508239
4,5,1,9,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
4,4,1,8,1,0,0,0,1,0,1,0,0,0,3.1599728e-05,0.0031599728,10.503317
4,4,1,2,1,0,1,0,1,0,0,0,0,0,4.147367e-05,0.004147367,10.5043545
1,2,3,2,1,0,1,0,0,0,0,0,1,0,0.99998593,99.9986,115.49852
4,3,4,3,1,0,1,0,1,0,0,1,0,0,5.3804847e-06,0.00053804845,10.500565
4,2,1,11,1,0,0,0,1,0,1,0,0,0,2.1069245e-06,0.00021069245,10.500221
4,6,3,8,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
0,0,5,10,1,0,0,0,0,0,1,0,0,0,0.53811026,53.811028,67.00158
4,3,1,12,1,1,0,0,1,0,0,0,0,0,5.347567e-06,0.0005347567,10.500562
4,6,5,12,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,2,1,6,1,1,0,0,1,0,0,0,0,0,1.6910725e-06,0.00016910725,10.500176
4,4,4,4,1,0,0,0,1,0,1,0,0,0,3.1599728e-05,0.0031599728,10.503317
1,2,1,2,1,0,1,0,0,0,0,0,1,0,0.9999863,99.99863,115.49855
4,4,2,7,1,0,1,0,1,0,0,0,0,0,2.9012941e-05,0.002901294,10.503046
4,4,1,3,1,0,0,0,1,1,0,0,0,0,3.1579908e-05,0.0031579908,10.503315
1,2,4,8,1,0,0,0,0,1,0,0,0,0,0.9999845,99.99845,115.49837
4,6,5,8,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
0,0,1,7,0,0,0,0,0,0,1,0,0,0,0.4813087,48.13087,61.03741
1,2,3,10,1,0,1,0,0,1,0,1,0,0,0.9999697,99.99697,115.49681
1,2,1,3,1,0,1,0,0,0,1,0,1,0,0.9999927,99.999275,115.49924
2,6,1,8,1,0,1,1,0,0,0,0,0,1,0.99999785,99.99979,115.49977
2,3,4,1,1,0,1,1,0,0,0,0,0,1,0.9999496,99.99496,115.4947
2,2,1,1,1,1,0,1,0,0,0,0,0,0,7.092032e-05,0.007092032,10.507446
4,5,3,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,5,3,4,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
4,2,1,5,1,1,0,0,1,0,0,0,0,0,1.9310255e-06,0.00019310255,10.500202
4,5,5,10,1,0,1,0,1,0,1,1,0,0,0.9999856,99.99856,115.49848
1,2,2,8,1,1,0,0,0,0,1,0,0,0,0.9999906,99.99906,115.49901
2,5,5,1,1,0,0,1,0,0,0,0,0,0,0.9999974,99.99974,115.499725
1,2,1,8,1,1,0,0,0,0,0,0,0,0,0.9999863,99.99863,115.49855
4,6,1,4,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
2,6,1,5,0,1,0,1,0,1,0,0,0,0,0.9999974,99.99974,115.499725
2,3,1,10,1,1,0,1,0,0,0,0,0,0,0.9999442,99.99442,115.49414
0,0,1,2,0,0,1,0,0,0,0,0,1,0,0.44504762,44.50476,57.229996
4,4,4,6,1,0,1,0,1,0,0,0,1,0,3.2072734e-05,0.0032072733,10.503367
4,2,1,3,1,1,0,0,1,0,0,0,0,0,1.8268626e-06,0.00018268626,10.500192
4,6,1,9,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,5,1,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,5,1,6,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,6,1,9,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
4,4,1,11,1,0,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
4,4,2,4,1,1,0,0,1,0,1,0,0,0,3.1380237e-05,0.0031380237,10.503294
1,2,3,2,1,1,0,0,0,0,0,0,0,0,0.9999821,99.998215,115.49812
4,2,1,9,1,0,0,0,1,0,1,0,0,0,1.7153195e-06,0.00017153195,10.500179
1,2,5,8,1,0,1,0,0,0,0,1,0,0,0.99996626,99.99663,115.49645
4,6,1,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,4,1,8,1,1,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
1,2,1,5,1,0,0,0,0,0,0,0,0,0,0.99998343,99.998344,115.49825
4,6,3,2,1,0,1,0,1,0,1,1,0,0,0.99998546,99.99854,115.49847
4,2,1,12,1,0,1,0,1,0,0,0,1,0,1.5426967e-06,0.00015426967,10.500162
4,5,1,8,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
0,0,2,5,1,1,0,0,0,0,0,0,0,0,0.54027724,54.027725,67.22911
